genotype,end_of_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
21428,NA,100.94,40.34
21429,NA,NA,NA
21430,NA,NA,NA
21431,NA,NA,NA
21432,NA,NA,NA
21433,NA,NA,NA
21434,NA,NA,NA
21435,NA,NA,NA
21436,NA,NA,NA
21437,NA,NA,NA
21438,NA,NA,NA
21439,NA,NA,NA
21440,NA,NA,NA
21441,NA,NA,NA
21442,NA,NA,NA
21443,NA,NA,NA
21444,NA,NA,NA
21445,NA,NA,NA
21446,NA,NA,NA
21448,NA,NA,NA
21449,160.32,89.37,44.65
21450,NA,NA,NA
21453,NA,NA,NA
21454,NA,NA,NA
21455,NA,NA,NA
21456,NA,NA,NA
21458,NA,NA,NA
21459,NA,97.04,33.09
21462,NA,NA,NA
21467,NA,NA,NA
21469,NA,NA,NA
21471,NA,NA,NA
21472,NA,NA,NA
21473,NA,NA,NA
21474,NA,NA,NA
21475,NA,NA,NA
21476,NA,NA,NA
21477,NA,NA,NA
21479,NA,NA,NA
21480,NA,NA,NA
21481,NA,NA,NA
21482,NA,NA,NA
21483,NA,NA,NA
21484,163.82,94.87,35.2
21485,NA,NA,NA
21488,NA,NA,NA
21489,168.88,93.99,34.6
21490,NA,NA,NA
21491,NA,83.75,40.37
21494,NA,NA,NA
21496,NA,NA,NA
21497,NA,NA,NA
21498,NA,NA,NA
21499,NA,NA,NA
21500,162.92,87.78,40.27
21501,NA,NA,NA
21504,NA,NA,NA
21505,NA,NA,NA
21506,NA,NA,NA
21516,NA,NA,NA
21521,NA,NA,NA
21522,NA,NA,NA
21524,NA,NA,NA
21525,NA,NA,NA
21526,NA,NA,NA
21527,NA,NA,NA
21528,NA,NA,NA
21529,NA,NA,NA
21530,NA,NA,NA
21531,NA,NA,NA
21532,NA,NA,NA
21533,NA,NA,NA
21534,NA,NA,NA
21535,NA,NA,NA
21537,NA,NA,NA
21538,NA,NA,NA
21539,NA,NA,NA
21540,NA,NA,NA
21541,NA,NA,NA
